ds,y,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip,diff,anomaly
2022-12-12,766.1854166666667,51.791666666666664,37.75,61.333333333333336,8.5,2.5416666666666665,28.62875,0.004166666666666667,110.79514459391669,Anomaly Detected
2022-12-13,681.5216666666666,48.291666666666664,37.125,66.41666666666667,5.916666666666667,0.9166666666666666,28.7675,0.0,10.056799348262302,
2022-12-14,1090.1408333333334,45.916666666666664,33.5,64.125,3.8333333333333335,0.0,28.91208333333333,0.0,379.22981970779335,Anomaly Detected
2022-12-15,1031.0108333333333,47.083333333333336,32.333333333333336,58.5,3.9583333333333335,0.0,28.910416666666666,0.0,309.4816109231433,Anomaly Detected
2022-12-16,869.6620833333333,49.375,29.125,49.166666666666664,4.166666666666667,0.0,28.905,0.0,84.30686914404725,
2022-12-17,946.8116666666666,48.833333333333336,18.791666666666668,33.041666666666664,3.7083333333333335,0.0,28.85375,0.0,77.03876097345812,
2022-12-18,594.1783333333333,51.916666666666664,28.0,40.416666666666664,3.7083333333333335,0.0,28.77,0.0,237.08738426986577,Anomaly Detected
2022-12-19,869.92625,50.375,33.125,54.083333333333336,3.1666666666666665,0.0,28.98125,0.0,90.32382291837177,
2022-12-20,667.1541666666666,52.0,32.208333333333336,49.5,3.5833333333333335,0.0,29.000416666666666,0.0,147.51071936989183,Anomaly Detected
2022-12-21,990.3233333333334,51.708333333333336,31.958333333333332,49.833333333333336,2.5,0.0,28.882499999999997,0.0,167.61609381602943,Anomaly Detected
2022-12-22,960.9054166666666,52.875,32.666666666666664,49.041666666666664,4.416666666666667,0.0,28.871666666666666,0.0,168.00367777047688,Anomaly Detected
2022-12-23,959.8445833333334,54.875,33.541666666666664,46.958333333333336,3.9166666666666665,0.0,28.905416666666667,0.0,128.21782316099723,Anomaly Detected
2022-12-24,990.7695833333333,56.5,33.166666666666664,44.375,4.208333333333333,0.0,29.000833333333333,0.0,129.96748928525005,Anomaly Detected
2022-12-25,1001.34,59.791666666666664,33.416666666666664,39.416666666666664,2.9583333333333335,0.0,28.975416666666664,0.0,91.83871767908295,
2022-12-26,966.5295833333333,59.125,35.583333333333336,43.875,3.0416666666666665,0.0,28.909583333333334,0.0,105.98937913664622,Anomaly Detected
2022-12-27,594.9708333333333,60.25,37.0,44.625,3.7083333333333335,0.0,28.777916666666666,0.0,258.0319273753072,Anomaly Detected
2022-12-28,118.92333333333333,55.208333333333336,47.458333333333336,77.04166666666667,6.708333333333333,0.0,28.6675,0.025000000000000005,499.342270528111,Anomaly Detected
2022-12-29,386.49791666666664,54.916666666666664,46.291666666666664,73.91666666666667,4.791666666666667,0.0,28.754583333333333,0.0,306.67066628875324,Anomaly Detected
2022-12-30,256.99708333333336,56.125,50.458333333333336,81.79166666666667,3.875,0.0,28.8425,0.0,444.49548338144695,Anomaly Detected
2022-12-31,523.3654166666666,57.541666666666664,48.916666666666664,73.91666666666667,5.333333333333333,0.0,28.791666666666668,0.0,191.42800058631326,Anomaly Detected
